Title,Q,RQ,L,Neutral,Happy,Sad,Angry,Fear,avg_speed,avg_pitchrange,amplitude1,amplitude2,amplitude3
02110035HA_1.mp4,16,8,18,0,0.02,0,0.979,0,3.3,6.62,11351.12,13287.47,12573.12
02250003AJ_1.mp4,46,23,7,0.765,0.017,0.081,0.118,0.019,2.75,7.35,28365.65,29645.65,30581.71
02102326MO_1.mp4,15,8,9,0.002,0.016,0,0.982,0,3.02,7.65,10130.06,11963.53,10435
03040017DW_1.mp4,4,2,56,0.01,0.028,0.001,0.002,0.96,1.88,8.5,23822.41,23857,23070.65
02102122CS_1.mp4,17,9,19,0.619,0,0.167,0.214,0,2.94,6.57,17059.71,16641.94,15741.71
02102115RP_1.mp4,14,7,2,0.012,0.163,0.003,0.822,0,3.03,6.83,9875.88,9369.12,7995.59
02102145VX_1.mp4,5,3,3,0.001,0.587,0.001,0.411,0,2.82,6.42,9118.18,9106.18,7983.35
02102312AS_1.mp4,21,11,13,0.007,0.145,0.002,0.846,0,3.31,5.04,15315.18,16001,15225.94
2018NON007_1.mp4,6,3,22,0.006,0.451,0.002,0.541,0,3.19,6.03,8098.94,6928.59,8682.06
03111401TI_1.mp4,18,9,30,0.085,0.118,0.048,0.746,0.004,2.76,6.9,14728.47,16432.35,16373.65
03111459JX_1.mp4,6,4,19,0.006,0.011,0.002,0.982,0,2.77,6.31,27075.12,26329.82,24774.24
02110035IQ_1.mp4,11,6,3,0.499,0.15,0.012,0.021,0.318,2.54,7.31,27201.24,29155.88,27323.06
02242145UU_1.mp4,36,18,58,0.01,0.806,0.006,0.138,0.04,2.71,6.77,11612.24,12195.18,10483.94
02102135RS_1.mp4,19,11,35,0.68,0.007,0.049,0.261,0.003,3.17,7.18,27263.12,27558.65,24547.59
02242146JA_1.mp4,16,8,28,0.314,0.001,0.049,0.636,0,2.82,6.53,28988.65,27282.18,29728.65
02102000VM_1.mp4,5,3,0,0.011,0.572,0.018,0.39,0.008,2.65,6.65,19143.65,18125.24,18356.65
02242133JN_1.mp4,19,10,33,0.026,0.349,0.007,0.617,0.002,2.77,7.16,7299.82,9064.47,8176.29
02102005OI_1.mp4,4,2,2,0.02,0,0.018,0.963,0,3.36,6,6664.35,7634.41,6892.29
2018NON006_1.mp4,21,11,4,0,0.197,0,0.802,0,2.9,6.6,7906.53,8868.82,8146.76
02102344LV_1.mp4,20,11,0,0,0.007,0,0.993,0,3.13,6.01,10111.24,10795.59,10264.47
02250039JH_1.mp4,7,4,54,0.019,0.02,0.042,0.493,0.426,1.83,7.07,25273.82,25815.35,24375.06
02111408LK_1.mp4,9,5,0,0.696,0,0.075,0.228,0,2.71,7.48,10543.35,10450.29,10633.71
02111416DE_1.mp4,15,8,2,0,0.035,0,0.965,0,2.84,6.96,9928.12,10142.47,9736.24
02102046WD_1.mp4,14,8,22,0.001,0.005,0.001,0.993,0,2.91,7.83,9254.65,11349.29,10410.47
2018NON008_1.mp4,27,14,21,0.798,0,0.186,0.016,0,2.98,7.12,13858.88,17851.35,17300.24
03032352MV_1.mp4,2,1,1,0.205,0.632,0.029,0.102,0.033,3.15,7.62,14118.41,16577.35,13644.29
