actutal_name,id,Q,L,Neutral,Happy,Sad,Angry,Fear,avg_speed,avg_pitchrange,amplitude1,amplitude2,amplitude3,board usage,rating,RQ
"A Saudi, an Indian and an Iranian walk into a Qatari bar ... _ Maz Jobrani",03111934PI.mp4,10,38,0,0.026,0,0.974,0,3.16,6.54,21982.75,21137.42,21333.09,0.382914027,4,2
A theory of everything _ Emily Levine,03111459JX_1.mp4,6,19,0.006,0.011,0.002,0.982,0,2.77,6.31,27075.12,26329.82,24774.24,0.382914027,4,4
A theory of everything _ Emily Levine,03111459JX.mp4,7,24,0.001,0,0,0.998,0,3,5.57,25726.69,28319.5,25996.38,0.382914027,4,2
Bob Mankoff_ Anatomy of a New Yorker cartoon,03111401TI.mp4,23,24,0.099,0.206,0.05,0.64,0.005,2.75,6.7,19655.81,17258.56,16300.12,0.4678199497,2,5
Bob Mankoff_ Anatomy of a New Yorker cartoon,03111401TI_1.mp4,18,30,0.085,0.118,0.048,0.746,0.004,2.76,6.9,14728.47,16432.35,16373.65,0.4678199497,2,9
"Comics that ask ""what if_"" _ Randall Munroe",03111420HA.mp4,14,13,0.033,0,0,0.967,0,3.54,5.91,19412.06,17877.62,18544.53,0.382914027,3,4
I got 99 problems... palsy is just one _ Maysoon Zayid,03111433OL.mp4,9,57,0.001,0.028,0.001,0.97,0,2.64,6.11,28269,27452.75,25982.75,0.382914027,3,2
Inside the mind of a master procrastinator _ Tim Urban,03111430EL.mp4,6,30,0.001,0.031,0.002,0.966,0,2.9,6.56,24445.44,24024.62,24056.94,0.252326872,4,1
"Julia Sweeney has ""The Talk""",2018NON005.mp4,16,23,0,0.803,0.001,0.196,0,2.39,7.67,11440.94,13326.88,15437.2,0.382914027,2,3
"One woman, eight hilarious characters _ Sarah Jones",03111954RK_1.mp4,3,13,0.153,0.359,0.046,0.036,0.406,2.62,6.25,18941.59,18540.06,17995.35,0.382914027,4,2
"One woman, eight hilarious characters _ Sarah Jones",03111954RK.mp4,3,19,0.047,0.51,0.022,0.39,0.031,2.77,5.92,14459.75,15931.62,23233.31,0.382914027,4,0
The happy secret to better work _ Shawn Achor,03111455LB.mp4,13,10,0,0,0,1,0,3.95,5.19,20462.94,20406,19067.56,0.382914027,5,2
The Skill of Humor _ Andrew Tarvin _ TEDxTAMU,03111451DH.mp4,17,17,0.02,0.112,0.006,0.861,0.001,3.46,6.33,20498.81,20711.06,21114.12,0.382914027,4,2
This is what happens when you reply to spam email _ James Veitch,03111428HI.mp4,21,53,0.274,0.112,0.015,0.116,0.484,2.78,7.12,19168.94,18716.19,18063.62,0.9701405969,4,4
"Mod-01 Lec-05 Relevant Basics of Linear Algebra, Vector Spaces",02242133JN.mp4,15,40,0.34,0.133,0.017,0.503,0.007,2.68,7.67,11207,6782.56,6827.94,0.3705743976,1,1
"Mod-01 Lec-05 Relevant Basics of Linear Algebra, Vector Spaces",02242133JN_1.mp4,19,33,0.026,0.349,0.007,0.617,0.002,2.77,7.16,7299.82,9064.47,8176.29,0.3705743976,1,10
"Mod-01 Lec-05 Relevant Basics of Linear Algebra, Vector Spaces",02242133JN_2.mp4,31,36,0.003,0.391,0.004,0.602,0,2.87,6.7,7296.71,6327.12,5257.82,0.3705743976,1,16
Production possibilities frontier _ Microeconomics _ Khan Academy,02250051DU.mp4,6,5,0.918,0,0.059,0.023,0,2.96,7.13,9967.75,8916.38,9190.19,0.0651084841,1,0
Dealing with Negativity_ Oliver Reichenstein at TEDxAthens 2012,03111902KY.mp4,9,6,0.912,0,0.088,0,0,2.98,6.36,15967.25,17076.75,15171.19,0.382914027,2,1
Definition of Bipolar Junction Transistor (BJT) & its ConstructionElectronicsFirst Year Engg,2018NON015.mp4,22,58,0.007,0.1,0.006,0.879,0.008,2.39,7.22,16410.56,16413.69,16417.62,0.382914027,2,3
Living beyond limits _ Amy Purdy _,2018NON002.mp4,18,5,0,0.244,0,0.756,0,2.74,7.77,13021.31,14817.12,14076.87,0.382914027,2,3
Magnification and resolution ,02242310LZ.mp4,5,58,0.62,0.019,0.173,0.174,0.014,2.41,7.12,16403.19,16404.31,16403.69,0.3621158351,2,1
Magnification and resolution ,02242310LZ_1.mp4,15,59,0.669,0.002,0.241,0.077,0.011,2.65,8.14,16401.71,16401.59,14959.12,0.3621158351,2,8
Mod-01 Lec-01 Parallel Algorithm,02242127HA.mp4,14,22,0,0.86,0.003,0.137,0,1.94,8.69,4081.81,4876.81,4367,0.4103192019,2,0
Mod-01 Lec-01 Parallel Algorithm,02242127HA_1.mp4,62,9,0,0.582,0.011,0.406,0.001,2.22,7.59,3565.29,4165.65,7182.59,0.4103192019,2,31
Signals and Systems _ EC _ EE _ IN,02250146IY.mp4,7,0,0.65,0.001,0.024,0.325,0,3.19,6.52,26016.93,25520.8,21234.47,0.382914027,2,0
Transistor as an Amplifier explained in a simple manner with a solved example,02250112RA.mp4,1,0,1,0,0,0,0,3.5,5,31320.85,31835.31,31231.38,0.382914027,2,0
Transistor as an amplifier in Hindi,02250110CV.mp4,36,0,0.559,0.011,0.072,0.355,0.003,2.5,6.63,18575.88,18304.88,16811.31,0.382914027,2,2
What is complexity theory_ (p vs. np explained),02250154XJ.mp4,5,17,0.129,0.002,0.665,0.205,0,3.27,6.18,15036.56,14260.5,13884.62,0.074676117,2,3
Working of Transistors,02250158LR.mp4,3,0,0.013,0.324,0.005,0.658,0,2.9,6.84,16263.27,16434.27,16126.5,0.3200548673,2,0
1. Simple Harmonic Motion & Problem Solving Introduction,02110035IQ_2.mp4,14,0,0.627,0.198,0.018,0.041,0.117,2.44,7.66,26825.71,28776.41,28362.76,0.3057593391,3,8
1. Simple Harmonic Motion & Problem Solving Introduction,02110035IQ.mp4,6,3,0.822,0.022,0.031,0.004,0.121,2.52,6.98,27204.06,28973.75,25864.75,0.3057593391,3,0
1. Simple Harmonic Motion & Problem Solving Introduction,02110035IQ_1.mp4,11,3,0.499,0.15,0.012,0.021,0.318,2.54,7.31,27201.24,29155.88,27323.06,0.3057593391,3,6
"8. Time Series Analysis I MIT 18.S096 Topics in Mathematics with Applications in Finance, Fall 2013",2018NON011_1.mp4,13,0,0.053,0.644,0.024,0.186,0.092,2.63,6.81,8127.65,4929.41,6256.53,0.4513696175,3,7
"8. Time Series Analysis I MIT 18.S096 Topics in Mathematics with Applications in Finance, Fall 2013",2018NON011.mp4,9,0,0.024,0.776,0.013,0.148,0.039,2.9,6.84,16263.27,16434.27,16126.5,0.4513696175,3,2
"After watching this, your brain will not be the same _ Lara Boyd",02250248RY.mp4,14,56,0.006,0.555,0.011,0.078,0.35,3.07,5.92,18937.56,19546.19,22304.12,0.382914027,3,2
BONUS_ History of the possessive apostrophe _ The Apostrophe _ Punctuation _ Khan Academy,02250044TB.mp4,13,0,0.011,0.09,0.004,0.893,0.001,2.7,6.57,19848.94,24610.88,24452.69,0.2527666289,3,3
Calculating average velocity or speed _ One-dimensional motion _ Physics _ Khan Academy,02250009NU.mp4,6,0,0.258,0,0.003,0.739,0,2.74,7.06,19168.38,17768.44,19951.19,0.147790758,3,2
CHEM-XI-12-01Organic Chemistry (2017) Pradeep Kshetrapal Physics channel,02250003DL.mp4,14,38,0,0.368,0.019,0.591,0.021,2.9,6.84,16263.27,16434.27,16126.5,0.2692545441,3,1
Federal Environmental Policy-Making-Intro to environmental policy,2018NON009.mp4,17,15,0.27169,0,0,0,0,2.41,5.86,18527.2,20202.3,19735.3,0.2444097558,3,1
Intellingent Design and Evolution ,02250014YU.mp4,4,0,0.997,0,0.003,0,0,3.52,6.17,18214.44,20441.5,20261.81,0.3914609982,3,0
"INTRODUCTION TO MICRO ECONOMICS CHAPTER_ 1, STD._ 12TH, ECONOMICS",03040017DW_1.mp4,4,56,0.01,0.028,0.001,0.002,0.96,1.88,8.5,23822.41,23857,23070.65,0.382914027,3,2
"INTRODUCTION TO MICRO ECONOMICS CHAPTER_ 1, STD._ 12TH, ECONOMICS",03040017DW.mp4,15,50,0.009,0.032,0.001,0.002,0.956,2.04,8.04,23723.62,23469.31,22822.5,0.382914027,3,3
