@RELATION svm1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {laugh,no-laugh}

@DATA
0.060100,0.023072,3.086489,0.135090,0.167206,0.455701,0.022387,0.090600,-25.894192,1.424856,-0.879681,-0.552761,-0.714783,-0.005626,-0.125457,0.009347,-0.264381,-0.159323,-0.150079,0.164633,-0.058142,0.011827,0.010344,0.018483,0.016479,0.026816,0.022885,0.019157,0.006251,0.010747,0.008543,0.007185,0.008486,0.024998,0.034851,0.021769,0.327190,0.043163,0.036020,0.365035,0.015991,0.063811,1.661339,0.989856,0.772582,0.597873,0.474011,0.474616,0.440727,0.440449,0.416069,0.407562,0.372086,0.379959,0.293621,0.019553,0.017071,0.024698,0.024073,0.040776,0.033678,0.025720,0.011228,0.015771,0.015566,0.011360,0.016814,0.015021,laugh
0.106426,0.019110,3.045093,0.182428,0.178403,0.912460,0.009182,0.170031,-24.819960,1.264072,-0.472733,-0.493176,-0.400884,0.022664,-0.182086,-0.122949,0.141858,-0.137701,-0.233799,-0.116120,-0.317863,0.022388,0.012255,0.016274,0.009056,0.008363,0.007959,0.009809,0.004828,0.007626,0.018227,0.022111,0.013103,0.017833,0.087027,0.015716,0.314256,0.075167,0.027548,0.602736,0.005371,0.134462,1.500236,0.805227,0.677871,0.443337,0.474761,0.419566,0.348559,0.306933,0.277346,0.319553,0.350197,0.344085,0.355473,0.024069,0.016434,0.017589,0.011873,0.011140,0.011472,0.015087,0.009273,0.012602,0.023344,0.024209,0.016039,0.010087,laugh
0.096313,0.025076,2.973228,0.173291,0.178351,0.832748,0.015102,0.157456,-26.312741,0.848193,-0.719493,-0.430209,-0.448663,0.055896,-0.482875,-0.442958,-0.243198,-0.127400,0.335656,0.281922,0.084299,0.005072,0.005981,0.005978,0.007187,0.013471,0.023547,0.030697,0.016141,0.020553,0.010752,0.007373,0.007118,0.023548,0.081995,0.031731,0.409352,0.080863,0.046361,0.577814,0.011084,0.140905,2.814527,0.894222,0.819376,0.504803,0.465991,0.456473,0.397743,0.384197,0.413418,0.460867,0.397539,0.354710,0.331103,0.007042,0.009655,0.010206,0.016200,0.028243,0.041204,0.041566,0.027000,0.026576,0.019345,0.010985,0.014163,0.015482,laugh
0.086273,0.008709,2.970932,0.150026,0.162986,0.783484,0.010406,0.134031,-25.579140,1.598412,0.213745,0.041642,-0.208417,0.206342,-0.279601,-0.272468,-0.118331,0.005124,-0.063760,0.028988,-0.022332,0.016396,0.004838,0.020272,0.018794,0.026254,0.018173,0.020847,0.003955,0.013560,0.011821,0.016559,0.006573,0.018430,0.057590,0.006568,0.348569,0.057239,0.033520,0.505644,0.007240,0.100359,1.873219,0.849129,0.766484,0.364734,0.466026,0.344526,0.351229,0.268185,0.259988,0.232813,0.234678,0.230282,0.227791,0.023503,0.006394,0.020224,0.022305,0.029084,0.023180,0.022528,0.004692,0.018524,0.011930,0.017702,0.008771,0.011432,laugh
0.072902,0.022601,2.951673,0.137429,0.152588,0.692416,0.009148,0.129931,-25.456849,1.460454,-0.187000,-0.382839,-0.279529,0.033222,-0.023381,-0.269605,-0.045320,0.052060,-0.112243,0.092043,-0.056243,0.011158,0.006381,0.013195,0.011060,0.020982,0.019288,0.019163,0.006203,0.014541,0.017900,0.018541,0.008860,0.017916,0.047552,0.020885,0.520131,0.052864,0.035814,0.477585,0.004918,0.096757,2.729545,0.772757,0.706961,0.427231,0.476772,0.306045,0.424326,0.328185,0.307096,0.264474,0.238136,0.228733,0.257670,0.009948,0.008073,0.017205,0.014547,0.021895,0.025280,0.022258,0.008118,0.019134,0.015858,0.020959,0.011476,0.009845,laugh
0.086507,0.016570,3.209176,0.160875,0.173383,0.811136,0.006010,0.133844,-23.379484,0.711168,-1.158585,-0.396011,-0.251521,0.231664,-0.078646,-0.323192,-0.028194,-0.097889,-0.307818,-0.004079,-0.219058,0.012498,0.009354,0.012354,0.008287,0.009309,0.014400,0.013127,0.009742,0.011057,0.014298,0.013009,0.011991,0.013020,0.027794,0.007903,0.091145,0.030477,0.021667,0.280420,0.002611,0.054770,0.513476,0.467605,0.400677,0.280743,0.310484,0.270735,0.257212,0.220034,0.238116,0.248891,0.251197,0.254012,0.237991,0.012476,0.011645,0.012790,0.009082,0.010719,0.017142,0.012505,0.010397,0.011024,0.016560,0.011429,0.014825,0.006799,laugh
0.076426,0.016275,3.016464,0.149671,0.173998,0.574599,0.011632,0.114844,-25.980538,1.575109,-0.647959,0.312409,0.049086,-0.002795,-0.056726,-0.307888,-0.185110,-0.145964,-0.306978,0.107340,-0.027274,0.019312,0.005677,0.024767,0.013730,0.020437,0.020992,0.024613,0.004829,0.007471,0.011652,0.023014,0.007189,0.021116,0.053123,0.017469,0.390516,0.054816,0.033878,0.440861,0.008785,0.096079,2.026535,0.714567,0.745122,0.450315,0.355010,0.368405,0.260758,0.276006,0.260901,0.277279,0.270747,0.320773,0.319170,0.026576,0.008267,0.030526,0.017829,0.023718,0.025367,0.030535,0.007847,0.007242,0.014480,0.022911,0.010143,0.012021,laugh
0.080872,0.018011,3.125035,0.154416,0.169231,0.771036,0.007661,0.132244,-23.852104,0.808922,-0.996269,-0.340166,-0.278220,0.258783,0.041774,-0.267257,0.003245,-0.078397,-0.193277,-0.028038,-0.159807,0.011911,0.008984,0.011809,0.009520,0.011468,0.010967,0.012671,0.011675,0.013293,0.013386,0.013157,0.008514,0.013807,0.031834,0.012731,0.181061,0.037392,0.030635,0.347745,0.003720,0.070699,0.985344,0.695521,0.477745,0.384762,0.383277,0.346408,0.300568,0.295871,0.252872,0.306602,0.237667,0.305632,0.279911,0.016995,0.013638,0.011491,0.010708,0.013741,0.015060,0.014826,0.015480,0.014517,0.012941,0.013782,0.012861,0.007736,laugh
0.060403,0.015891,3.004831,0.123203,0.155921,0.489293,0.015919,0.087725,-27.467621,2.182931,-0.208203,-0.050317,-0.598345,0.150399,-0.131783,-0.072287,0.033104,-0.072141,-0.024021,0.008907,-0.011088,0.017917,0.007246,0.021093,0.019073,0.027244,0.015234,0.021261,0.003278,0.011124,0.017280,0.019898,0.009750,0.022202,0.040934,0.017739,0.359663,0.043837,0.034492,0.446507,0.011781,0.073938,2.836424,0.923143,0.827905,0.387567,0.439796,0.336315,0.343476,0.267172,0.253582,0.243274,0.250318,0.235901,0.233687,0.023294,0.012602,0.020845,0.022542,0.031993,0.022458,0.024703,0.005878,0.017976,0.021237,0.022927,0.013367,0.011517,laugh
0.070560,0.021259,2.979067,0.134696,0.158840,0.514937,0.018125,0.099350,-26.312241,1.998812,-0.496042,-0.364864,-0.746026,0.023639,-0.137580,-0.156306,0.044017,-0.071378,0.036940,-0.003462,-0.036076,0.015053,0.009527,0.012980,0.013000,0.015794,0.017420,0.022805,0.005103,0.015437,0.018536,0.015455,0.013695,0.022168,0.050523,0.020726,0.358023,0.049988,0.031257,0.417098,0.012649,0.083689,2.051014,0.836288,0.702464,0.407426,0.452503,0.354652,0.323213,0.306341,0.272576,0.313199,0.265330,0.276056,0.290269,0.019425,0.014280,0.017281,0.017392,0.022823,0.027202,0.031839,0.009437,0.023143,0.024116,0.021671,0.026445,0.012192,laugh
