 i'm john doe tag, not question
 None, not question
 problem might be, not question
 objective function, not question
 and finally its the old joke, not question
 for fifteen dollars it won't get me there before five, not question
 what is the model to me i think of it is an experimental device,question
 be so by, not question
 and which to leave behind, not question
 so the objective function something you either minimizing or maximizing, not question
 let's say that i'm allowed fifteen hundred calories of food, not question
 call the knapsack problem, not question
 alright pretty abstract let's talk about the specific optimization problem, not question
 we'll talk about three kinds of models optimization models, not question
 but also there's a lot more i would say, not question
 familiarity with some simple algorithms, not question
 i'll be a final exam based upon all of the above, not question
 and so the burglar has to solve the optimization problem, not question
 representing the set of available items, not question
 the item is represented by a pair, not question
 continue s are so called fractional knapsack problem says i can take pieces of it, not question
 but has a knapsack that will only hold a fine art amount of stuff that he or she wishes to steal, not question
 finance, not question
 or am i only allows predict the future something that hasn't happened, not question
 so essentially i'm gonna use a binary number to represent the set of items i choose to take, not question
 involves, not question
 None, not question
 item three say it beeps three is zero, not question
 None, not question
 i'm at wanna find a root by car or plane or train, not question
 of length and, not question
 how do we use computation to understand the world in which we live, question
 okay so i kind of use mathematics to describe the backpack problem, not question
 really to fall the six from zero one problem sex, not question
 and the weight of the item, not question
 it's what we old people used to call a backpack, not question
 and it was i was ten minutes into it for real life most of the class had no idea what a knapsack was, not question
 let's look at an example, not question
 i am trying to take, not question
 as will see if, not question
 more emphasis in using packages, not question
 what i only have a hundred dollars to spend so that option is off the table, question
 but it all has to fit in the knapsack, not question
 fastest way to get from new york to boston is to take a plane, not question
 usually it's call, not question
 anyway, not question
 let's assume the knapsack can accommodate items for the total weight, not question
 None, not question
 fraction of this food, not question
 there's more stuff than you can carry and you have to choose which stuff to take, not question
 odds are you'll be fine a way but that's the safest way to do it so, not question
 None, not question
 i'm not taking the item, not question
 conceptual algorithmic material in six tripple zero two, not question
 and you can, not question
 once i take something that's fourteen hundred, not question
 you want to maximize your value, not question
 extra point zero one, not question
 so essentially what's happening, not question
 and then you move on to the next thing, not question
 somebody walks up to a taxi driver in new york city, not question
 the main topic of of course is what i think of its computational models, not question
 alright welcome to six tripple zero two or if you and six hundred in the second half of six hundred, not question
 in the future, not question
 who breaks into a house and want to steal a bunch of stuff, not question
 is it mi to open course ware at os ew dot am it dot edu, not question
 and they used to look more like that than they look today, not question
 and i can't add up to more than fifteen hundred calories, not question
 and that's really the only way to learn to program is practice practice practice, not question
